Gene_Tag	ME	Syn	PA	Sites	Codons
Rv1898	7	0	7	7	6
Rv1899c	18	3	15	17	17
Rv1900c	28	9	19	28	28
Rv1901	28	11	17	27	27
Rv1902c	24	9	15	24	24
Rv1903	9	6	3	9	9
Rv1904	8	1	7	8	8
Rv1905c	16	2	14	15	15
Rv1906c	5	1	4	5	5
Rv1907c	16	6	10	16	14
Rv1908c	127	6	121	34	31
Rv1909c	9	2	7	9	9
Rv1910c	12	5	7	12	12
Rv1911c	15	4	11	15	15
Rv1912c	18	4	14	18	17
Rv1913	8	5	3	8	8
Rv1914c	4	1	3	4	4
Rv1915	18	6	12	18	18
Rv1916	13	7	6	13	13
Rv1919c	4	2	2	4	4
Rv1920	17	6	11	17	17
Rv1921c	25	5	20	24	21
Rv1922	16	5	11	15	15
Rv1923	34	12	22	34	33
Rv1924c	9	5	4	9	9
Rv1925	22	11	11	22	22
Rv1926c	9	4	5	9	9
Rv1934c	7	3	4	7	7
Rv1935c	21	8	13	19	19
Rv1936	16	5	11	16	16
Rv1937	43	17	26	43	43
Rv1938	20	5	15	20	20
Rv1939	4	0	4	4	4
Rv1940	16	7	9	16	16
Rv1941	15	7	8	15	15
Rv1942c	3	1	2	3	3
Rv1943c	7	3	4	6	6
Rv1944c	32	2	30	18	16
Rv1946c	9	2	7	9	9
Rv1947	6	2	4	6	6
Rv1948c	8	3	5	8	8
Rv1950c	1	0	1	1	1
Rv1951c	5	1	4	5	5
Rv1952	5	1	4	4	3
Rv1953	11	4	7	8	7
Rv1954c	11	5	6	11	11
Rv1955	8	2	6	8	7
Rv1956	4	2	2	4	4
Rv1957	11	2	9	10	10
Rv1958c	9	2	7	9	9
Rv1959c	5	2	3	5	5
Rv1960c	2	2	0	2	2
Rv1961	13	4	9	13	13
Rv1962c	3	0	3	3	3
Rv1962A	6	3	3	6	6
Rv1963c	18	12	6	18	18
Rv1964	19	3	16	19	19
Rv1965	16	5	11	16	15
Rv1966	21	5	16	21	21
Rv1967	26	7	19	25	25
Rv1968	23	7	16	21	21
Rv1969	21	7	14	21	20
Rv1970	16	5	11	16	16
Rv1971	17	6	11	17	17
Rv1972	9	1	8	9	7
Rv1973	8	3	5	7	7
Rv1974	9	1	8	9	9
Rv1975	11	5	6	11	11
Rv1976c	10	2	8	10	9
Rv1977	18	9	9	17	17
Rv1978	6	1	5	6	6
Rv1979c	24	8	16	24	21
Rv1980c	10	3	7	10	10
Rv1981c	7	6	1	7	7
Rv1982c	5	1	4	5	5
Rv1982A	5	2	3	5	5
Rv1989c	6	1	5	6	6
Rv1990c	6	2	4	6	5
Rv1991c	5	2	3	5	5
Rv1991A	1	0	1	1	1
Rv1992c	36	11	25	35	35
Rv1997	39	18	21	39	38
Rv1998c	14	4	10	14	14
Rv1999c	34	8	26	33	32
Rv2000	35	14	21	35	34
Rv2001	15	6	9	15	14
Rv2002	18	4	14	18	18
Rv2003c	19	7	12	17	17
Rv2004c	23	9	14	22	21
Rv2005c	14	7	7	12	12
Rv2006	80	26	54	79	77
Rv2007c	3	2	1	3	3
Rv2008c	17	8	9	17	17
Rv2009	3	3	0	3	3
Rv2010	2	1	1	2	2
Rv2011c	5	4	1	5	5
Rv2012	11	3	8	11	11
Rv2016	10	1	9	9	9
Rv2017	13	1	12	13	13
Rv2022c	14	1	13	13	12
Rv2023c	2	0	2	2	2
Rv2024c	34	9	25	33	30
Rv2025c	20	7	13	20	20
Rv2026c	19	6	13	19	19
Rv2027c	21	10	11	21	21
Rv2028c	16	7	9	16	16
Rv2029c	15	5	10	15	15
Rv2030c	38	17	21	37	36
Rv2031c	8	2	6	8	8
Rv2032	22	10	12	21	20
Rv2033c	17	5	12	16	15
Rv2034	5	1	4	5	5
Rv2035	10	3	7	10	9
Rv2036	12	0	12	12	11
Rv2037c	19	8	11	19	19
Rv2038c	14	8	6	14	14
Rv2039c	12	4	8	12	11
Rv2040c	9	4	5	9	9
Rv2041c	19	8	11	19	19
Rv2042c	15	8	7	15	15
Rv2043c	120	3	117	87	68
Rv2044c	8	1	7	8	8
Rv2045c	28	13	15	28	28
Rv2046	10	5	5	10	9
Rv2047c	29	10	19	29	29
Rv2048c	242	92	150	191	171
Rv2049c	2	2	0	2	2
Rv2050	1	0	1	1	1
Rv2051c	36	18	18	35	35
Rv2052c	32	11	21	32	32
Rv2053c	10	5	5	9	8
Rv2054	9	4	5	9	9
Rv2055c	3	2	1	3	3
Rv2056c	4	2	2	4	4
Rv2057c	4	1	3	4	4
Rv2058c	6	2	4	6	6
Rv2059	36	9	27	36	36
Rv2060	7	1	6	7	7
Rv2061c	11	4	7	11	11
Rv2062c	73	17	56	71	68
Rv2063	4	2	2	4	4
Rv2063A	3	0	3	3	3
Rv2064	13	4	9	13	12
Rv2065	17	6	11	17	17
Rv2066	28	8	20	28	28
Rv2067c	19	10	9	19	18
Rv2068c	18	8	10	18	18
Rv2069	9	5	4	9	9
Rv2070c	12	4	8	12	12
Rv2071c	16	5	11	16	16
Rv2072c	22	3	19	22	21
Rv2074	6	2	4	6	6
Rv2075c	35	14	21	35	34
Rv2076c	3	0	3	3	3
Rv2077c	15	4	11	15	15
Rv2077A	2	1	1	2	2
Rv2078	13	4	9	12	11
Rv2079	39	14	25	38	37
Rv2080	14	1	13	14	14
Rv2081c	10	4	6	10	9
Rv2082	37	11	26	36	35
Rv2083	23	9	14	23	22
Rv2084	25	9	16	24	24
Rv2088	30	11	19	30	30
Rv2089c	23	8	15	23	23
Rv2090	17	8	9	17	16
Rv2091c	11	3	8	11	10
Rv2092c	48	15	33	48	45
Rv2093c	11	5	6	11	11
Rv2094c	4	2	2	4	4
Rv2095c	12	6	6	12	12
Rv2096c	17	9	8	17	17
Rv2097c	16	11	5	15	15
Rv2100	31	10	21	31	29
Rv2101	43	10	33	43	43
Rv2102	3	1	2	3	3
Rv2103c	6	1	5	5	5
Rv2104c	5	2	3	5	5
Rv2104a	4	2	2	4	4
Rv2109c	10	6	4	9	9
Rv2110c	11	3	8	11	11
Rv2111c	2	1	1	2	2
Rv2113	19	9	10	19	19
Rv2114	12	3	9	12	12
Rv2115c	19	10	9	19	18
Rv2116	8	4	4	8	8
Rv2117	3	1	2	3	3
Rv2118c	13	6	7	13	13
Rv2119	13	3	10	13	13
Rv2120c	8	4	4	8	8
Rv2121c	7	4	3	7	7
Rv2122c	4	3	1	4	4
Rv2125	10	3	7	9	9
Rv2127	23	5	18	23	22
Rv2128	2	1	1	2	2
Rv2129c	14	4	10	14	13
Rv2130c	15	8	7	15	15
Rv2131c	8	2	6	8	8
Rv2132	1	0	1	1	1
Rv2133c	20	8	12	20	19
Rv2134c	10	5	5	10	10
Rv2135c	8	5	3	8	8
Rv2136c	11	4	7	11	10
Rv2137c	9	2	7	9	9
Rv2138	23	5	18	23	22
Rv2139	9	2	7	9	9
Rv2140c	5	2	3	5	5
Rv2141c	14	9	5	14	14
Rv2142c	5	2	3	5	5
Rv2142A	5	2	3	5	5
Rv2143	18	5	13	18	18
Rv2144c	5	1	4	5	5
Rv2145c	9	4	5	9	9
Rv2146c	2	1	1	2	2
Rv2147c	8	3	5	8	8
Rv2148c	9	1	8	9	9
Rv2149c	7	4	3	7	7
Rv2150c	9	4	5	9	9
Rv2151c	10	6	4	9	9
Rv2152c	21	10	11	21	21
Rv2153c	14	6	8	14	14
Rv2154c	20	5	15	20	20
Rv2155c	31	12	19	31	30
Rv2156c	12	6	6	12	12
Rv2157c	22	8	14	22	22
Rv2158c	28	10	18	28	28
Rv2159c	18	4	14	18	18
Rv2161c	13	1	12	12	12
Rv2163c	15	8	7	15	15
Rv2164c	15	7	8	15	15
Rv2165c	16	8	8	15	15
Rv2166c	6	3	3	6	6
Rv2169c	4	0	4	4	4
Rv2170	13	4	9	12	11
Rv2171	12	4	8	12	12
Rv2172c	10	5	5	10	10
Rv2173	15	5	10	15	15
Rv2174	19	10	9	19	19
Rv2175c	8	3	5	8	8
Rv2176	18	2	16	18	18
Rv2178c	12	6	6	12	12
Rv2179c	8	3	5	8	8
Rv2180c	11	3	8	11	11
Rv2181	21	9	12	21	21
Rv2182c	12	6	6	12	12
Rv2183c	6	1	5	6	6
Rv2184c	14	6	8	14	14
Rv2185c	4	2	2	4	4
Rv2186c	5	2	3	5	5
Rv2187	30	9	21	28	27
Rv2188c	19	6	13	19	19
Rv2189c	10	3	7	10	9
Rv2190c	16	6	10	16	16
Rv2191	30	11	19	30	30
Rv2192c	9	5	4	9	9
Rv2193	4	2	2	4	4
Rv2196	22	6	16	21	21
Rv2197c	12	4	8	11	11
Rv2198c	14	13	1	13	13
Rv2199c	4	2	2	4	4
Rv2200c	10	4	6	10	10
Rv2201	27	9	18	27	27
Rv2202c	18	10	8	18	18
Rv2203	16	6	10	16	16
Rv2204c	7	1	6	6	5
Rv2205c	17	8	9	17	15
Rv2206	12	5	7	12	12
Rv2207	19	6	13	19	18
Rv2208	11	3	8	11	11
Rv2209	28	9	19	27	24
Rv2210c	17	13	4	16	15
Rv2211c	17	4	13	17	17
Rv2212	21	9	12	21	21
Rv2213	21	7	14	21	21
Rv2214c	23	10	13	23	23
Rv2215	29	10	19	29	28
Rv2216	22	6	16	22	22
Rv2217	11	5	6	11	11
Rv2218	14	6	8	13	13
Rv2219	13	7	6	13	13
Rv2219A	4	4	0	4	4
Rv2220	17	10	7	17	17
Rv2221c	37	16	21	37	36
Rv2222c	12	3	9	12	12
Rv2223c	25	11	14	25	25
Rv2224c	21	7	14	21	21
Rv2224d	2	0	2	2	2
Rv2225	15	3	12	15	13
Rv2226	24	5	19	24	24
Rv2227	12	6	6	12	11
Rv2228c	14	9	5	13	13
Rv2229c	7	3	4	7	7
Rv2230c	18	9	9	17	16
Rv2231c	13	7	6	13	13
Rv2231A	6	3	3	6	6
Rv2231B	1	1	0	1	1
Rv2232	11	4	7	11	11
Rv2234	6	2	4	6	6
Rv2235	8	3	5	8	8
Rv2236c	16	7	9	16	16
Rv2237	10	2	8	10	10
Rv2237A	6	2	4	6	6
Rv2238c	5	2	3	5	5
Rv2239c	5	2	3	5	5
Rv2240c	6	2	4	6	6
Rv2241	31	11	20	31	31
Rv2242	13	7	6	13	13
Rv2243	13	5	8	13	13
Rv2244	4	3	1	4	4
Rv2245	18	10	8	18	18
Rv2246	11	8	3	11	11
Rv2247	16	5	11	16	15
Rv2248	17	7	10	17	17
Rv2249c	28	12	16	27	26
Rv2250c	8	3	5	7	7
Rv2251	20	10	10	20	19
Rv2252	15	4	11	15	14
Rv2253	11	2	9	11	11
Rv2254c	10	5	5	10	10
Rv2256a	2	1	1	2	2
Rv2256c	4	3	1	4	4
Rv2257c	12	5	7	12	12
Rv2258c	19	8	11	18	18
Rv2259	17	7	10	17	16
Rv2260	11	1	10	11	11
Rv2263	7	3	4	7	7
Rv2264c	33	7	26	33	33
Rv2265	22	6	16	22	22
Rv2266	33	8	25	32	31
Rv2267c	16	3	13	15	15
Rv2268c	25	8	17	25	24
Rv2269c	7	2	5	7	6
Rv2270	17	4	13	17	17
Rv2281	29	13	16	29	28
Rv2282c	16	4	12	16	16
Rv2283	3	1	2	3	3
Rv2284	20	9	11	20	20
Rv2285	23	4	19	22	20
Rv2286c	12	2	10	12	12
Rv2287	18	5	13	17	16
Rv2288	9	3	6	9	9
Rv2289	15	5	10	15	15
Rv2290	12	4	8	12	12
Rv2291	16	8	8	16	15
Rv2292c	3	3	0	3	3
Rv2293c	14	9	5	14	14
Rv2294	23	4	19	23	23
Rv2295	15	5	10	15	15
Rv2296	15	4	11	14	14
Rv2297	13	2	11	12	11
Rv2298	20	2	18	20	20
Rv2299c	29	12	17	29	29
Rv2300c	12	4	8	12	12
Rv2301	13	6	7	13	13
Rv2302	6	4	2	5	4
Rv2303c	20	11	9	20	19
Rv2304c	1	0	1	1	1
Rv2305	20	7	13	20	19
Rv2307c	12	5	7	12	12
Rv2307A	2	1	1	2	2
Rv2307B	10	2	8	10	10
Rv2307D	5	3	2	5	5
Rv2308	13	3	10	13	13
Rv2308a	6	4	2	6	6
Rv2309A	6	2	4	6	6
Rv2310	5	0	5	5	5
Rv2311	10	1	9	10	10
Rv2312	4	1	3	4	4
Rv2313c	9	4	5	8	7
Rv2314c	28	17	11	28	27
Rv2315c	16	6	10	16	16
Rv2316	15	6	9	15	15
Rv2317	8	4	4	8	8
Rv2318	12	1	11	12	12
Rv2319c	10	2	8	10	10
Rv2320c	28	10	18	28	28
Rv2323c	13	5	8	13	13
Rv2324	6	3	3	6	6
Rv2325c	9	3	6	9	9
Rv2326c	23	12	11	23	23
Rv2327	9	6	3	9	9
Rv2329c	24	7	17	24	23
Rv2330c	9	2	7	9	9
Rv2331	4	2	2	4	4
Rv2331A	6	1	5	6	6
Rv2332	23	10	13	23	22
Rv2333c	30	7	23	30	29
Rv2334	14	4	10	14	13
Rv2335	12	3	9	12	12
Rv2336	20	5	15	20	20
Rv2337c	22	5	17	22	22
Rv2338c	17	4	13	17	17
Rv2339	46	13	33	44	43
Rv2341	9	0	9	8	8
Rv2342	3	2	1	3	3
Rv2343c	16	9	7	16	16
Rv2344c	15	6	9	15	15
Rv2345	25	7	18	25	24
Rv2347c	4	4	0	1	1
Rv2348c	14	3	11	8	8
Rv2349c	3	2	1	3	3
Rv2357c	11	9	2	11	11
Rv2358	11	6	5	11	10
Rv2359	23	2	21	22	21
Rv2360c	10	5	5	10	10
Rv2361c	9	6	3	8	8
Rv2362c	10	4	6	10	10
Rv2363	15	8	7	15	15
Rv2364c	12	5	7	12	12
Rv2365c	5	1	4	5	5
Rv2366c	17	7	10	17	17
Rv2367c	10	4	6	10	10
Rv2368c	17	10	7	17	17
Rv2369c	12	3	9	12	12
Rv2370c	26	8	18	25	24
Rv2372c	12	3	9	12	11
Rv2373c	12	5	7	12	12
Rv2374c	19	4	15	19	17
Rv2375	2	1	1	2	2
Rv2376c	9	4	5	9	9
Rv2377c	5	2	3	5	5
Rv2378c	17	11	6	17	16
Rv2379c	42	21	21	41	41
Rv2380c	72	37	35	71	71
Rv2381c	42	19	23	41	39
Rv2382c	19	11	8	19	18
Rv2383c	64	24	40	63	63
Rv2384	25	9	16	25	23
Rv2385	21	8	13	21	21
Rv2386c	17	10	7	17	17
Rv2386a	4	2	2	4	4
Rv2387	13	1	12	12	12
Rv2388c	13	4	9	13	13
Rv2389c	6	2	4	6	6
Rv2390c	9	4	5	9	9
Rv2391	20	5	15	20	20
Rv2394	32	9	23	32	31
Rv2395	25	7	18	25	25
Rv2395A	1	0	1	1	1
Rv2395B	6	3	3	6	6
Rv2397c	22	8	14	22	22
Rv2398c	12	4	8	12	12
Rv2399c	9	4	5	9	9
Rv2400c	15	5	10	15	15
Rv2401	11	3	8	11	11
Rv2401A	2	2	0	2	2
Rv2402	30	12	18	29	29
Rv2403c	6	1	5	6	6
Rv2404c	30	13	17	30	30
Rv2405	7	3	4	7	7
Rv2406c	5	1	4	5	5
Rv2407	13	4	9	13	11
Rv2410c	9	2	7	9	9
Rv2411c	21	10	11	21	21
Rv2412	4	0	4	4	4
Rv2413c	17	5	12	17	16
Rv2414c	20	13	7	20	20
Rv2415c	17	3	14	17	17
Rv2416c	16	7	9	16	16
Rv2417c	12	5	7	12	11
Rv2418c	6	1	5	6	6
Rv2419c	6	1	5	6	6
Rv2420c	4	1	3	4	4
Rv2421c	3	2	1	3	3
Rv2422	5	0	5	5	5
Rv2423	19	6	13	19	19
Rv2425c	13	2	11	13	13
Rv2426c	11	5	6	11	11
Rv2427c	16	7	9	16	16
Rv2428	10	7	3	9	9
Rv2432c	7	0	7	7	7
Rv2433c	2	0	2	2	2
Rv2434c	21	7	14	21	21
Rv2435c	33	9	24	32	31
Rv2436	18	5	13	18	17
Rv2437	4	1	3	4	4
Rv2438c	29	12	17	29	28
Rv2438A	4	2	2	4	4
Rv2439c	19	10	9	18	18
Rv2440c	20	7	13	19	18
Rv2441c	1	1	0	1	1
Rv2442c	4	3	1	4	4
Rv2443	27	11	16	26	25
Rv2444c	32	13	19	32	31
Rv2445c	3	1	2	3	3
Rv2446c	7	2	5	7	7
Rv2447c	37	8	29	26	24
Rv2448c	30	7	23	29	29
Rv2449c	25	8	17	25	24
Rv2450c	16	1	15	16	14
Rv2451	6	1	5	6	6
Rv2452c	5	1	4	5	4
Rv2453c	12	5	7	12	12
Rv2454c	13	9	4	13	12
Rv2455c	25	11	14	25	25
Rv2456c	19	6	13	19	19
Rv2457c	16	8	8	16	16
Rv2458	15	5	10	15	15
Rv2459	27	10	17	27	27
Rv2462c	18	9	9	17	17
Rv2463	12	7	5	12	12
Rv2464c	16	3	13	16	15
Rv2465c	2	2	0	2	2
Rv2466c	9	4	5	9	9
Rv2467	38	12	26	37	35
Rv2468c	12	5	7	11	10
Rv2468A	7	1	6	7	7
Rv2469c	11	6	5	10	10
Rv2470	7	1	6	7	7
Rv2471	31	10	21	31	31
Rv2472	4	1	3	4	4
Rv2473	21	8	13	21	20
Rv2474c	4	0	4	4	4
Rv2475c	6	2	4	6	6
Rv2476c	60	16	44	59	58
Rv2477c	14	5	9	14	14
Rv2478c	7	2	5	7	7
Rv2481c	6	2	4	6	6
Rv2482c	38	17	21	38	38
Rv2483c	35	19	16	34	34
Rv2484c	27	11	16	27	26
Rv2485c	20	6	14	20	20
Rv2486	9	3	6	9	9
Rv2491	11	5	6	11	11
Rv2492	18	2	16	18	18
Rv2493	6	2	4	6	6
Rv2494	11	5	6	10	10
Rv2495c	20	7	13	19	19
Rv2496c	14	3	11	13	13
Rv2497c	15	3	12	15	15
Rv2498c	8	2	6	8	8
Rv2499c	11	5	6	11	11
Rv2500c	12	8	4	12	12
Rv2501c	31	15	16	31	31
Rv2502c	18	6	12	18	18
Rv2503c	14	2	12	14	14
Rv2504c	11	4	7	11	11
Rv2505c	28	8	20	28	27
Rv2506	8	1	7	8	8
Rv2507	13	7	6	13	13
Rv2508c	23	7	16	23	22
Rv2509	11	5	6	11	11
Rv2510c	28	8	20	28	28
Rv2511	4	3	1	4	4
Rv2512a	2	1	1	2	2
Rv2513	12	4	8	12	12
Rv2514c	7	3	4	7	7
Rv2515c	16	4	12	16	16
Rv2516c	6	0	6	6	6
Rv2517c	4	1	3	4	3
Rv2518c	11	4	7	11	11
Rv2520c	4	1	3	4	4
Rv2521	7	2	5	7	7
Rv2522c	31	16	15	30	30
Rv2523c	3	2	1	3	3
Rv2524c	115	48	67	115	110
Rv2525c	9	4	5	9	9
Rv2526	7	3	4	7	6
Rv2527	7	2	5	7	7
Rv2528c	15	7	8	14	14
Rv2529	27	8	19	27	25
Rv2530c	3	1	2	3	3
Rv2530A	4	1	3	4	4
Rv2531c	44	23	21	43	42
Rv2532c	3	0	3	3	3
Rv2533c	8	2	6	8	8
Rv2534c	10	7	3	10	10
Rv2535c	11	2	9	11	11
Rv2536	6	1	5	6	6
Rv2537c	7	4	3	7	7
Rv2538c	12	7	5	12	12
Rv2539c	5	4	1	5	5
Rv2540c	22	15	7	22	21
Rv2541	3	2	1	3	3
Rv2542	19	7	12	19	19
Rv2543	2	0	2	2	2
Rv2544	5	2	3	4	4
Rv2545	5	0	5	5	5
Rv2546	12	4	8	11	11
Rv2547	9	1	8	9	9
Rv2548	8	3	5	8	8
Rv2548A	4	1	3	4	4
Rv2549c	3	1	2	3	3
Rv2550c	5	1	4	5	5
Rv2551c	2	1	1	2	2
Rv2552c	14	5	9	14	14
Rv2553c	11	6	5	10	10
Rv2554c	8	1	7	8	7
Rv2555c	20	13	7	20	20
Rv2556c	8	3	5	8	8
Rv2557	8	0	8	8	8
Rv2558	3	3	0	3	3
Rv2559c	17	4	13	17	16
Rv2560	16	6	10	16	16
Rv2563	18	6	12	17	17
Rv2564	13	4	9	13	13
Rv2565	27	5	22	27	27
Rv2566	59	13	46	58	56
Rv2567	44	10	34	43	43
Rv2568c	13	8	5	13	13
Rv2569c	15	5	10	15	15
Rv2570	13	6	7	12	12
Rv2571c	28	5	23	27	26
Rv2572c	26	10	16	26	26
Rv2573	21	10	11	21	20
Rv2574	9	3	6	9	9
Rv2575	16	4	12	16	16
Rv2576c	11	5	6	11	11
Rv2577	27	5	22	27	27
Rv2578c	1	0	1	1	1
Rv2579	4	1	3	4	4
Rv2580c	16	7	9	15	14
Rv2581c	5	3	2	5	5
Rv2582	16	7	9	16	16
Rv2583c	30	18	12	30	30
Rv2584c	16	5	11	16	16
Rv2585c	23	12	11	23	22
Rv2586c	27	12	15	26	25
Rv2587c	34	15	19	34	33
Rv2588c	6	2	4	6	5
Rv2589	23	7	16	22	21
Rv2590	54	18	36	54	53
Rv2592c	14	9	5	14	14
Rv2593c	12	7	5	12	11
Rv2594c	5	2	3	5	5
Rv2595	7	1	6	7	7
Rv2596	10	3	7	9	9
Rv2597	10	5	5	10	10
Rv2598	8	1	7	8	8
Rv2599	6	2	4	6	6
Rv2600	1	1	0	1	1
Rv2601	26	12	14	25	25
Rv2601A	3	0	3	3	3
Rv2602	7	3	4	7	7
Rv2603c	10	4	6	10	10
Rv2604c	8	3	5	8	7
Rv2605c	19	9	10	17	16
Rv2606c	12	6	6	12	12
Rv2607	5	0	5	5	5
Rv2609c	16	5	11	16	14
Rv2610c	10	5	5	10	10
Rv2611c	18	9	9	18	17
Rv2612c	10	2	8	10	10
Rv2613c	4	1	3	4	4
Rv2614c	20	7	13	20	20
Rv2616	13	5	8	12	12
Rv2617c	6	1	5	6	6
Rv2618	11	3	8	11	11
Rv2619c	4	1	3	4	4
Rv2620c	6	5	1	5	5
Rv2621c	14	4	10	14	14
Rv2622	15	7	8	15	14
Rv2623	10	3	7	10	10
Rv2624c	7	1	6	7	7
Rv2625c	21	7	14	21	21
Rv2626c	5	2	3	5	5
Rv2627c	26	10	16	26	25
Rv2628	9	1	8	8	8
Rv2629	21	8	13	21	20
Rv2630	9	2	7	9	8
Rv2631	26	8	18	26	25
Rv2632c	4	0	4	4	4
Rv2633c	11	3	8	11	11
Rv2635	3	2	1	3	3
Rv2636	14	7	7	14	14
Rv2637	11	3	8	11	11
Rv2638	13	4	9	13	13
Rv2639c	6	3	3	5	5
Rv2640c	9	4	5	9	9
Rv2641	4	1	3	4	4
Rv2642	2	0	2	2	2
Rv2643	30	7	23	30	30
Rv2644c	5	1	4	5	5
Rv2660c	3	2	1	3	3
Rv2661c	3	0	3	3	3
Rv2662	3	0	3	3	3
Rv2663	5	2	3	5	5
Rv2664	4	0	4	4	4
Rv2665	8	2	6	8	8
Rv2667	11	6	5	11	11
Rv2668	13	4	9	13	13
Rv2669	6	1	5	6	6
Rv2670c	28	5	23	18	18
Rv2671	14	8	6	14	14
Rv2672	15	4	11	15	15
Rv2673	14	11	3	14	14
Rv2674	5	2	3	5	5
Rv2675c	13	3	10	13	13
Rv2676c	8	7	1	7	7
Rv2677c	12	4	8	12	12
Rv2678c	17	6	11	17	16
Rv2679	12	5	7	12	11
Rv2681	18	10	8	17	17
Rv2682c	21	13	8	21	21
Rv2683	17	4	13	16	16
Rv2684	19	8	11	19	19
Rv2685	17	8	9	17	17
Rv2686c	12	5	7	12	11
Rv2687c	9	3	6	9	8
Rv2688c	15	3	12	15	15
Rv2689c	18	7	11	18	18
Rv2690c	28	9	19	28	28
Rv2691	11	2	9	11	11
Rv2692	10	2	8	9	9
Rv2693c	7	1	6	7	7
Rv2694c	6	1	5	6	6
Rv2695	7	3	4	7	7
Rv2696c	13	5	8	13	10
Rv2698	10	4	6	10	10
Rv2699c	3	0	3	3	3
Rv2700	12	4	8	12	12
Rv2701c	20	7	13	19	19
Rv2702	16	3	13	16	16
Rv2703	20	7	13	20	19
Rv2704	5	1	4	5	5
Rv2705c	4	1	3	4	4
Rv2706c	3	0	3	3	3
Rv2707	15	7	8	15	15
Rv2708c	4	0	4	4	4
Rv2709	12	2	10	12	12
Rv2710	10	8	2	10	10
Rv2711	8	5	3	8	8
Rv2712c	28	9	19	28	28
Rv2713	28	9	19	27	27
Rv2714	14	3	11	14	14
Rv2715	17	4	13	17	17
Rv2716	10	1	9	10	10
Rv2717c	8	3	5	8	8
Rv2718c	4	2	2	4	4
Rv2719c	13	5	8	13	13
Rv2720	14	8	6	14	14
Rv2721c	40	13	27	40	40
Rv2722	10	2	8	9	9
Rv2723	19	1	18	18	18
Rv2724c	16	8	8	16	16
Rv2725c	13	5	8	13	13
Rv2726c	5	1	4	5	5
Rv2727c	19	5	14	19	18
Rv2728c	13	6	7	13	12
Rv2729c	14	4	10	14	14
Rv2730	8	3	5	8	8
Rv2731	16	5	11	16	15
Rv2732c	11	4	7	10	10
Rv2733c	17	6	11	17	15
Rv2734	12	4	8	11	11
Rv2735c	16	3	13	16	16
Rv2736c	4	0	4	4	4
Rv2737c	22	8	14	22	22
Rv2738c	2	1	1	2	2
Rv2739c	14	9	5	14	13
Rv2740	12	5	7	12	12
Rv2742c	11	2	9	11	11
Rv2743c	13	7	6	13	13
Rv2744c	16	7	9	16	14
Rv2745c	6	3	3	6	6
Rv2746c	7	0	7	7	6
Rv2747	7	1	6	7	7
Rv2748c	45	18	27	44	44
Rv2749	5	1	4	5	5
Rv2750	11	4	7	11	10
Rv2751	15	3	12	15	15
Rv2752c	50	11	39	49	49
Rv2753c	13	5	8	13	13
Rv2754c	11	6	5	11	11
Rv2756c	26	8	18	26	26
Rv2757c	9	3	6	9	8
Rv2758c	1	0	1	1	1
Rv2759c	4	1	3	4	4
Rv2760c	6	2	4	6	6
Rv2761c	21	8	13	21	21
Rv2763c	8	4	4	8	8
Rv2764c	12	4	8	11	10
Rv2765	15	7	8	14	13
Rv2766c	14	5	9	14	14
Rv2767c	6	1	5	6	6
Rv2771c	4	1	3	4	4
Rv2772c	5	3	2	5	5
Rv2773c	7	3	4	7	7
Rv2774c	9	3	6	9	9
Rv2775	4	2	2	4	4
Rv2776c	17	4	13	17	16
Rv2777c	17	5	12	17	16
Rv2778c	13	6	7	13	12
Rv2779c	19	2	17	15	13
Rv2780	13	2	11	11	10
Rv2781c	25	5	20	24	24
Rv2782c	20	3	17	20	20
Rv2783c	19	8	11	19	18
Rv2784c	9	2	7	8	8
Rv2785c	5	0	5	5	5
Rv2786c	17	5	12	15	15
Rv2787	29	10	19	28	28
Rv2788	12	1	11	12	12
Rv2789c	14	4	10	14	13
Rv2790c	18	9	9	17	17
Rv2793c	15	6	9	15	15
Rv2794c	10	3	7	10	10
Rv2795c	9	5	4	9	9
Rv2796c	13	7	6	13	12
Rv2797c	27	9	18	27	24
Rv2798c	3	0	3	3	3
Rv2799	7	4	3	7	7
Rv2800	30	10	20	29	29
Rv2801c	3	0	3	3	3
Rv2801A	3	2	1	3	3
Rv2802c	12	3	9	12	12
Rv2803	8	2	6	8	8
Rv2804c	8	6	2	8	8
Rv2805	7	1	6	7	7
Rv2806	1	1	0	1	1
Rv2807	10	4	6	10	10
Rv2808	3	0	3	3	3
Rv2809	5	3	2	5	5
Rv2820c	5	4	1	5	5
Rv2821c	12	4	8	12	12
Rv2822c	3	2	1	3	3
Rv2823c	36	10	26	36	34
Rv2824c	17	3	14	14	13
Rv2825c	4	1	3	4	4
Rv2826c	12	5	7	12	12
Rv2827c	10	4	6	10	9
Rv2828c	1	0	1	1	1
Rv2828A	18	1	17	2	2
Rv2829c	8	3	5	8	8
Rv2830c	2	0	2	2	2
Rv2831	16	4	12	16	16
Rv2832c	17	5	12	17	17
Rv2833c	27	8	19	27	27
Rv2834c	15	3	12	15	13
Rv2835c	9	5	4	8	8
Rv2836c	25	6	19	25	23
Rv2837c	7	2	5	7	7
Rv2838c	9	5	4	8	8
Rv2839c	33	17	16	33	31
Rv2840c	6	0	6	6	6
Rv2841c	11	5	6	11	11
Rv2842c	3	0	3	3	3
Rv2843	5	1	4	5	5
Rv2844	5	0	5	5	5
Rv2845c	12	5	7	12	11
